TV,Radio,Social_Media,Influencer,Sales
16.00,6.566230788,2.907982773,Mega,54.73275715
13.00,9.237764567,2.409567204,Mega,46.67789698
41.00,15.886446020,2.913410175,Mega,150.17782880
83.00,30.020028260,6.922303959,Mega,298.24633980
15.00,8.437407682,1.405998150,Micro,56.59418080
29.00,9.614382036,1.027163490,Mega,105.88914760
55.00,24.893811480,4.273602146,Micro,198.67982480
31.00,17.355041810,2.289854925,Nano,108.73393190
76.00,24.648898210,7.130115956,Macro,270.18940000
13.00,0.431127823,2.229423022,Mega,48.28058223
62.00,24.345188790,5.151483172,Nano,224.96101920
42.00,15.807337400,3.194924641,Mega,145.54399160
64.00,20.240423930,3.921147972,Micro,229.63238070
34.00,0.226326491,2.372705624,Nano,121.33641930
36.00,3.900195980,0.060401795,Nano,123.52611260
60.00,22.353720750,0.940801841,Mega,212.76439680
25.00,9.905842649,1.853224897,Micro,89.81992260
100.00,36.116091490,3.674295980,Macro,353.80463870
92.00,40.736989670,4.636563904,Nano,329.35053960
46.00,12.695092290,3.884583840,Macro,162.19133350
78.00,35.568223820,2.832450089,Macro,276.40133990
37.00,2.828972458,4.556701242,Micro,128.48466190
99.00,37.263818650,6.886534810,Nano,349.86157520
75.00,20.348987970,1.227180495,Micro,272.25010780
54.00,27.807614000,4.060781965,Nano,192.46190830
27.00,7.280088955,2.179478014,Micro,96.74937343
21.00,9.282685174,3.055758381,Mega,76.99292807
40.00,13.050410810,1.971184795,Nano,139.28878940
67.00,24.137615930,5.573093351,Mega,234.85102530
90.00,29.021016610,6.431995293,Micro,323.03218270
12.00,3.567660711,3.558311365,Nano,40.79219533
81.00,27.335775110,5.263650376,Micro,290.77757350
43.00,16.348711040,2.814013458,Mega,150.62649470
47.00,17.376525620,1.905040273,Mega,161.78515230
43.00,18.230192430,4.079293023,Nano,155.59919530
75.00,23.626238410,6.199769157,Mega,263.02068720
79.00,23.510570670,2.188926056,Macro,281.57894220
65.00,24.563546230,3.419668080,Macro,231.67004770
43.00,12.842128420,2.593697318,Macro,148.70696650
82.00,27.647585450,5.611221835,Macro,294.95241510
68.00,21.639201240,3.223647705,Micro,242.82488110
98.00,37.570952060,8.529604366,Mega,351.77306790
26.00,10.599532510,0.679275349,Macro,91.92229739
10.00,6.145248262,1.591116473,Macro,32.56682505
32.00,0.627618771,2.676075167,Micro,115.26256680
29.00,8.852094414,0.041494349,Macro,101.87310140
32.00,11.524148950,2.566791358,Mega,111.89971210
29.00,14.434106300,0.463277331,Macro,104.35266530
91.00,40.108527280,7.236170474,Mega,326.38171240
83.00,34.281411790,8.697487404,Nano,300.73053250
72.00,23.922695820,3.373809656,Mega,255.15516520
47.00,24.169131940,2.087910259,Micro,161.71708710
10.00,3.455868379,2.400118071,Micro,39.62567824
49.00,10.067626160,1.729667405,Macro,169.00811290
14.00,5.197856187,0.413965989,Mega,50.98848158
20.00,10.750050580,2.442173814,Macro,70.47172273
17.00,10.447451620,3.356106421,Nano,58.59009126
68.00,29.892741100,6.096743741,Mega,237.77216370
91.00,25.045557450,6.109369688,Macro,322.10049640
52.00,17.113239770,2.638642418,Mega,181.07961220
41.00,3.921540021,2.527850591,Nano,145.91920000
65.00,11.656487850,0.358471532,Micro,228.56464910
82.00,31.607690790,3.952448108,Mega,288.98223930
14.00,18.649441830,4.529927084,Mega,49.81567405
84.00,31.266408360,8.080731556,Nano,299.09905200
99.00,30.140569120,6.546158024,Mega,351.35989020
15.00,2.234293408,1.077718260,Mega,55.00971238
64.00,24.698521880,6.741382758,Micro,223.09914620
70.00,15.247726200,4.587703384,Macro,247.13940140
77.00,26.822350020,5.514187222,Nano,274.70710000
81.00,20.391946850,3.212250256,Macro,289.17575870
46.00,17.790134540,4.117631989,Micro,168.03653870
56.00,25.276087040,3.239265214,Mega,198.32152160
98.00,33.055158730,6.063457718,Mega,349.74529650
47.00,18.233961700,0.827545346,Mega,166.13721960
18.00,8.808702773,2.414186295,Nano,59.28931563
77.00,22.955312700,2.642504816,Mega,272.63213640
22.00,6.041725794,2.136632357,Mega,77.41731834
99.00,37.717805200,3.590086383,Nano,349.42397450
36.00,9.096779889,3.818834490,Mega,127.09267380
12.00,1.648197979,1.305725130,Mega,43.06509252
94.00,47.116293390,9.322957802,Micro,336.59342020
97.00,39.232306360,3.698661076,Nano,345.31316370
44.00,16.912034290,4.034660177,Macro,154.20655650
86.00,31.521897270,6.398283645,Mega,304.74377480
93.00,33.059450960,5.789298410,Micro,335.20906960
30.00,10.645107590,1.915517115,Macro,104.18096710
32.00,0.758066665,2.359200238,Mega,112.26969400
29.00,2.172596338,4.208324504,Mega,103.63486590
72.00,25.406596370,3.215455403,Micro,262.40117150
14.00,8.001265854,4.187834310,Micro,51.44298395
95.00,38.415224970,7.673636553,Micro,336.76063310
20.00,3.934783488,0.328469804,Nano,72.62590273
49.00,24.359044340,3.797367287,Nano,174.19813890
29.00,11.213688780,0.558836580,Macro,98.99963768
39.00,13.187256350,2.766352269,Macro,140.41528590
87.00,33.707898220,3.327272719,Nano,309.36166810
38.00,9.437711713,4.377587812,Mega,133.56548870
43.00,9.726736048,0.337998227,Macro,152.25466770
30.00,8.421994731,3.279480595,Macro,112.30810880
93.00,19.956386770,2.261406312,Mega,333.57911290
86.00,25.260707420,6.765663894,Nano,307.61908940
63.00,26.035986270,3.290816886,Nano,225.48623190
93.00,28.038208830,2.924281836,Nano,333.96643210
94.00,32.146205080,4.610925290,Macro,334.64591560
63.00,21.846543910,2.642410230,Macro,222.46830710
30.00,17.469019070,4.337634178,Nano,105.18531230
18.00,7.291955516,2.317959067,Micro,62.31766345
24.00,3.426021221,0.003176760,Micro,86.11553566
56.00,14.880181190,2.367556821,Macro,197.22513300
40.00,17.428849650,3.306706147,Macro,143.83591480
74.00,29.562950980,2.060719698,Micro,263.10563300
52.00,14.565895040,1.998218400,Mega,182.98601430
74.00,20.220867930,4.540904518,Macro,267.73733840
70.00,15.354189300,1.049369556,Micro,250.75138790
99.00,33.878243510,8.091610987,Mega,356.58214340
42.00,15.215236120,1.501445964,Nano,145.21647460
85.00,31.796938260,2.162502380,Mega,303.39739100
38.00,8.872274678,1.605213404,Macro,132.34436790
30.00,15.432672470,3.986570200,Macro,104.50392620
49.00,21.032180380,5.087016957,Micro,174.56411280
27.00,6.447508155,1.415638249,Mega,96.43343282
30.00,4.561312156,1.652759623,Mega,104.15035650
100.00,36.573808210,5.273156173,Mega,354.79737470
21.00,1.380311071,5.286680958,Mega,80.94072509
38.00,18.903609110,4.889993447,Macro,131.10151880
39.00,9.722746017,0.903060425,Micro,135.54431990
14.00,4.828279786,0.286038590,Micro,49.18778559
40.00,18.378401000,1.320080106,Mega,141.38012380
33.00,17.449475460,0.887761603,Macro,119.33080740
88.00,26.009639870,1.495600762,Nano,321.04668940
67.00,28.481820950,1.520803886,Mega,240.40275810
65.00,20.061555750,3.529274197,Nano,226.99893180
95.00,30.737285760,8.980234377,Micro,341.42814020
95.00,36.422306230,9.997472195,Nano,335.30143110
77.00,31.653200100,7.776978403,Nano,273.96037720
70.00,21.438518560,5.708104984,Mega,249.30190480
34.00,16.193652730,0.792203039,Mega,117.05465570
59.00,13.452175970,1.503082160,Macro,208.74950530
30.00,12.155583500,0.932529328,Macro,106.09959330
